obj_id,row_obj,col_obj,Area,Centroid_r,Centroid_c,Orientation,Perimeter,Euler,Proj_H_1,Proj_H_2,Proj_H_3,Proj_H_4,Proj_H_5,Proj_H_6,Proj_H_7,Proj_H_8,Proj_H_9,Proj_H_10,Proj_W_1,Proj_W_2,Proj_W_3,Proj_W_4,Proj_W_5,Proj_W_6,Proj_W_7,Proj_W_8,Proj_W_9,Proj_W_10,Thinness,Aspect,rst1,rst2,rst3,rst4,rst5,rst6,rst7,Mean_1,STD_1,Skew_1,Energy_1,Entropy_1,Class
FTraining1115,175,58,10826,142,71,-3.33375616487532,418,1,4,4,5,5,4,4,4,4,3,1,9,10,9,8,2,0,0,0,0,0,0.778619584436325,0.403314917127072,0.236550073481508,0.0294517268076021,0.000362563973901484,6.18052673543292e-05,8.68772895005481e-09,9.75349110696596e-06,-3.18133191724382e-09,127.161278403843,32.1471745005301,-1.60932460067654,0.0255958510566808,5.93630438764146,Cancer
FTraining1115,95,122,14412,102,127,28.4504411910111,450,1,4,5,7,7,7,5,5,4,3,1,5,5,7,9,9,7,6,0,0,0,0.894353250835281,0.72316384180791,0.198393555259598,0.0123338924443291,0.000554641711768664,2.39453390390953e-05,-1.72250876181428e-09,-1.83169192114103e-06,-2.15593636466349e-09,177.989036913683,22.42546210911,-0.595308204014924,0.0196931482068209,5.85418817087035,Cancer
FTraining1115,101,59,6149,87,50,6.26926068419647,338,1,4,4,4,4,4,4,3,3,2,0,5,8,9,9,1,0,0,0,0,0,0.676364736070993,0.411347517730496,0.266734048835128,0.0419053819117847,0.00214055808875452,0.000662053867752291,7.85767430815334e-07,0.000133493511376221,-6.11111784212718e-08,177.280533420068,17.9643359298623,-1.96647337324614,0.0340754866656223,5.26215224420495,Cancer
consas1129111frl33-orig.tif,58,91,8478,59,87,8.23443553233992,358,1,5,6,6,7,5,5,4,4,3,1,4,8,9,10,9,5,1,0,0,0,0.831260650951414,0.692307692307692,0.191995381966653,0.00897684788259639,0.000592166188450987,4.1478184603823e-05,3.66664549246014e-09,1.44856056411027e-06,5.36778503008146e-09,163.995517810805,16.7240337181891,-0.530380381773555,0.0241847389196166,5.54078850524277,Cancer
gonluk110212fll3-orig.tif,76,189,8228,57,188,20.0445149927745,337,1,6,6,7,7,7,7,6,6,5,1,5,8,9,9,9,10,7,1,0,0,0.910425357403405,0.739495798319328,0.18237976245312,0.00726329634888483,5.32838301715651e-05,1.88096526842565e-06,-3.33138817458277e-12,-2.67417745868066e-08,1.85337816911255e-11,143.292659212445,28.074003004613,0.1125564749395,0.0176923823202085,6.07553742182919,Cancer
grechl052912frl3-orig.tif,100,137,4771,80,143,-8.79392443549916,250,1,3,4,5,5,5,6,5,5,5,1,7,8,10,9,9,1,0,0,0,0,0.959266467217722,0.584158415841584,0.191134597559199,0.0104323241045638,0.000120996194462591,5.91388052701046e-06,-1.09121270700402e-10,-1.04698424468559e-07,-1.14535705753971e-10,169.639698176483,9.9612710647381,-0.950450829270503,0.0432612214129407,4.76568416480172,Cancer
grycod030612hrl3-orig.tif,134,198,5619,124,194,15.8291640770111,317,1,3,3,3,3,3,3,3,2,2,0,5,7,9,4,0,0,0,0,0,0,0.702668316751925,0.475524475524476,0.299169950072468,0.0614814265334044,0.00170715790042804,0.000693414790669839,7.3071811338492e-07,0.000144199309885771,-1.87711074533252e-07,122.277273536216,13.8036726584952,-0.947903422615179,0.0319395007677565,5.26590740353079,Cancer
kracro090810HRL3-orig.tif,52,140,9352,59,137,-29.1876452645586,394,1,7,7,6,5,6,5,4,4,3,0,5,9,9,8,6,5,3,2,0,0,0.75704538886268,0.854014598540146,0.226349448085376,0.0212492904887169,0.00155846444360952,0.000129557554417022,3.50844628735127e-08,8.1315986576644e-06,-4.64562830415288e-08,93.8432420872541,18.0907269184629,-0.193365175467996,0.0217455761213733,5.69415578705585,Cancer
anddol022312hll3-orig.tif,90,202,7121,107,192,-12.8194780613888,370,1,2,4,3,3,3,2,3,3,2,1,3,9,8,5,1,0,0,0,0,0,0.653653215082919,0.430232558139535,0.321803615285213,0.0749493309894279,0.00145300654783829,0.000877036021058231,9.82046623171399e-07,0.000231189070467315,1.25682491855186e-07,125.928521275102,12.860603231553,-0.837371847641172,0.0341364107943654,5.20589237892271,NoCancer
benamb061112hrl3-orig.tif,105,180,17755,117,230,64.1891116369564,613,1,7,10,8,7,5,3,2,1,1,0,2,2,3,4,4,5,5,5,6,8,0.593758160619815,1.21546961325967,0.260575042778911,0.0371151664662034,0.00281608286684286,0.000413546452442901,2.9969557784626e-07,4.10235271727272e-05,-3.30681107919999e-07,104.625908194875,12.1702401020435,-0.0167763707043248,0.0330496579550772,5.16886120574372,NoCancer
bibbac061112hrl3-orig.tif,89,155,8862,94,164,-30.3939911567786,393,1,2,4,4,4,3,4,3,4,3,0,2,4,6,6,5,4,3,1,0,0,0.721035269794243,0.718562874251497,0.316026613545922,0.0734318626730516,9.2323877552387e-05,4.31018092709845e-05,2.7012850237072e-09,1.05747042141159e-05,-3.09379890747762e-10,142.87779282329,11.1355826842741,0.138736305825745,0.0388080510911791,5.02833955644222,NoCancer
consas112911fll3-orig.tif,73,256,9443,57,271,-16.8832471304156,374,1,7,7,8,7,7,7,6,6,4,0,6,8,9,9,9,9,6,3,0,0,0.848353096395334,0.774193548387097,0.178192482113625,0.004383537798498,0.00013349163332808,9.00857535976795e-06,2.80857416718413e-10,2.58672638043355e-07,-1.36795280713019e-10,145.533728687917,16.8337077545354,-1.51850241965182,0.0318974885894958,5.39213976235775,NoCancer
